latitude,longitude,weather_id,weather_main,weather_description,weather_icon,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,rain_1,rain_3,snow_1,snow_3,clouds,sunrise,sunset,w_date,w_time
53.3467,-6.2599,300,Drizzle,"light intensity drizzle",09d,279.57,275.98,278.89,280.38,1032,83,10000,5.66,40,0,0,0,0,75,1677827351,1677866717,2023-03-03,10:53:05
53.3498,-6.2603,300,Drizzle,"light intensity drizzle",09d,279.57,275.98,278.89,280.38,1032,83,10000,5.66,40,0,0,0,0,75,1677827351,1677866717,2023-03-03,10:55:54
53.3498,-6.2603,300,Drizzle,"light intensity drizzle",09d,279.74,276.2,279.03,280.38,1032,83,10000,5.66,40,0,0,0,0,75,1677827351,1677866717,2023-03-03,11:01:07
53.3498,-6.2603,300,Drizzle,"light intensity drizzle",09d,279.74,276.2,279.03,280.38,1032,83,10000,5.66,40,0,0,0,0,75,1677827351,1677866717,2023-03-03,11:01:07
53.3467,-6.2599,300,Drizzle,"light intensity drizzle",09d,279.75,276.21,279.03,280.38,1032,83,10000,5.66,40,0,0,0,0,75,1677827351,1677866717,2023-03-03,11:08:05
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.77,276.45,279.44,280.14,1032,83,10000,5.14,30,0,0,0,0,75,1677827351,1677866717,2023-03-03,11:17:16
53.3498,-6.2603,300,Drizzle,"light intensity drizzle",09d,279.74,276.2,279.03,280.38,1032,83,10000,5.66,40,0,0,0,0,75,1677827351,1677866717,2023-03-03,11:15:04
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.77,276.45,279.44,280.14,1032,83,10000,5.14,30,0,0,0,0,75,1677827351,1677866717,2023-03-03,11:19:20
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.77,276.45,279.44,280.14,1032,83,10000,5.14,30,0,0,0,0,75,1677827351,1677866717,2023-03-03,11:23:03
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.8,276.49,279.03,280.38,1031,82,10000,5.14,30,0,0,0,0,75,1677827351,1677866717,2023-03-03,11:37:34
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.8,276.49,279.03,280.38,1031,82,10000,5.14,30,0,0,0,0,75,1677827351,1677866717,2023-03-03,11:37:34
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.99,276.51,279.52,280.38,1032,83,10000,5.66,40,0,0,0,0,75,1677827351,1677866717,2023-03-03,11:47:05
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.99,276.51,279.52,280.38,1032,83,10000,5.66,40,0,0,0,0,75,1677827351,1677866717,2023-03-03,11:51:04
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.99,276.51,279.52,280.38,1032,83,10000,5.66,40,0,0,0,0,75,1677827351,1677866717,2023-03-03,11:51:04
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.99,276.51,279.52,280.38,1032,83,10000,5.66,40,0,0,0,0,75,1677827351,1677866717,2023-03-03,12:01:07
53.3545,-6.2594,803,Clouds,"broken clouds",04d,279.91,276.41,279.02,280.68,1032,84,10000,5.66,40,0,0,0,0,75,1677827351,1677866716,2023-03-03,12:09:48
53.3545,-6.2594,803,Clouds,"broken clouds",04d,279.91,276.41,279.02,280.68,1032,84,10000,5.66,40,0,0,0,0,75,1677827351,1677866716,2023-03-03,12:09:48
53.3507,-6.2642,803,Clouds,"broken clouds",04d,280.1,276.46,279.03,280.69,1032,82,10000,6.17,50,0,0,0,0,75,1677827352,1677866717,2023-03-03,12:18:09
53.3507,-6.2642,803,Clouds,"broken clouds",04d,280.1,276.46,279.03,280.69,1032,82,10000,6.17,50,0,0,0,0,75,1677827352,1677866717,2023-03-03,12:18:09
53.3498,-6.2603,803,Clouds,"broken clouds",04d,280.11,276.47,279.03,280.69,1032,82,10000,6.17,50,0,0,0,0,75,1677827351,1677866717,2023-03-03,12:25:49
53.3498,-6.2603,803,Clouds,"broken clouds",04d,280.11,276.47,279.03,280.69,1032,82,10000,6.17,50,0,0,0,0,75,1677827351,1677866717,2023-03-03,12:25:49
53.3498,-6.2603,803,Clouds,"broken clouds",04d,280.11,276.47,279.03,280.69,1032,82,10000,6.17,50,0,0,0,0,75,1677827351,1677866717,2023-03-03,12:30:06
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.92,276.23,279.03,280.69,1032,81,10000,6.17,50,0,0,0,0,75,1677827351,1677866717,2023-03-03,12:43:01
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.92,276.23,279.03,280.69,1032,81,10000,6.17,50,0,0,0,0,75,1677827351,1677866717,2023-03-03,12:41:11
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.73,276.12,279.03,280.03,1032,81,10000,5.81,50,0,0,0,0,75,1677827351,1677866717,2023-03-03,12:47:56
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.88,276.31,279.03,280.69,1032,81,10000,5.81,50,0,0,0,0,75,1677827351,1677866717,2023-03-03,12:49:25
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.73,276.12,279.03,280.03,1032,81,10000,5.81,50,0,0,0,0,75,1677827351,1677866717,2023-03-03,13:00:19
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.82,276.24,279.03,280.31,1031,81,10000,5.81,50,0,0,0,0,75,1677827351,1677866717,2023-03-03,13:09:26
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.82,276.24,279.03,280.31,1031,81,10000,5.81,50,0,0,0,0,75,1677827351,1677866717,2023-03-03,13:06:02
53.3498,-6.2603,803,Clouds,"broken clouds",04d,280.01,277.23,279.24,280.52,1032,79,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,13:20:07
53.3498,-6.2603,803,Clouds,"broken clouds",04d,280.01,277.23,279.24,280.52,1032,79,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,13:20:07
53.3498,-6.2603,803,Clouds,"broken clouds",04d,280.01,277.23,279.24,280.52,1032,79,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,13:27:54
53.3498,-6.2603,803,Clouds,"broken clouds",04d,280.01,277.23,279.24,280.52,1032,79,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,13:27:54
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.82,277,278.68,280.52,1032,81,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,13:39:22
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.87,277.06,278.68,280.87,1032,80,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,13:38:48
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.82,277,278.68,280.52,1032,81,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,13:39:22
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.87,277.06,278.68,280.87,1031,80,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,13:55:10
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.87,277.06,278.68,280.87,1031,80,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,13:55:10
53.3498,-6.2603,803,Clouds,"broken clouds",04d,280.06,277.29,279.47,280.87,1031,79,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,14:02:16
53.3498,-6.2603,803,Clouds,"broken clouds",04d,280.01,277.23,279.47,280.52,1031,79,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,14:07:26
53.3463,-6.259,803,Clouds,"broken clouds",04d,280,277.22,279.47,280.52,1031,79,10000,4.12,70,0,0,0,0,75,1677827350,1677866717,2023-03-03,14:12:26
53.3463,-6.259,803,Clouds,"broken clouds",04d,280,277.22,279.47,280.52,1031,79,10000,4.12,70,0,0,0,0,75,1677827350,1677866717,2023-03-03,14:12:26
53.3461,-6.2553,300,Drizzle,"light intensity drizzle",09d,280.1,277.34,279.48,280.53,1031,80,10000,4.12,70,0,0,0,0,75,1677827349,1677866716,2023-03-03,14:23:24
